model,macro_F1,rank
Gemini 3.1 Pro Preview,0.6648,1
GPT-5.4,0.6595,2
Claude Sonnet 4.6,0.6594,3
Qwen 2.5 72B Instruct 4-bit,0.6313,4
Llama 3.1 70B-Inst 4-bit,0.6232,5
Gemma 2 9B Instruct 4-bit,0.5967,6
Mistral 7B v0.3 Instruct,0.5017,7
Llama 3.1 8B-Inst,0.4929,8
